artifact,family,stage,role,tracked_in_git,purpose,claims_resting_on_it,training_split,evaluated_on_split,number_of_predictors,validation_pr_auc,validation_roc_auc,best_iteration,maximum_estimators,estimator_cap_reached,early_stopping_triggered,test_evaluated,metrics_manifest_found,metadata_manifest_found,limitations,not_suitable_for
ablation/lightgbm_ablation_card1__singleton_prior_count_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,436.0,0.6585029342626766,0.9247152136616861,7358.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
ablation/lightgbm_ablation_card1__singleton_time_since_previous_hours_cap15000_seed42.txt,ablation_cell,B1,ablation_panel,False,One cell of the per-feature ablation localising which of the four card1 summaries carries the gain. Singleton cells add one feature to the baseline; leave-one-out cells remove one from the full set.,"The published redundancy verdict, since superseded by the fixed-budget refits; kept as the argmax endpoint of the bracket",train,validation,436.0,0.651616551164047,0.9252209405095132,7889.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b0__stop_auc_cap15000_seed42.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,435.0,0.6013200057445801,0.9244808257256021,1121.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b0__stop_average_precision_cap15000_seed42.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,435.0,0.649193708652322,0.9246941076025785,6011.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b1_card1__stop_auc_cap15000_seed42.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,439.0,0.609388342335647,0.9250279614931097,1318.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b1_card1__stop_average_precision_cap15000_seed1337.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,439.0,0.6564420532936598,0.9261001316177228,9310.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b1_card1__stop_average_precision_cap15000_seed202.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,439.0,0.6564587375569705,0.9265015656337833,7011.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b1_card1__stop_average_precision_cap15000_seed2024.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,439.0,0.6497407856971592,0.9267411186360439,4651.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b1_card1__stop_average_precision_cap15000_seed42.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,439.0,0.6554977637099318,0.9280936050493256,6087.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_b1_card1__stop_average_precision_cap15000_seed707.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,439.0,0.6426453686404109,0.9273633899755858,3644.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
convergence_check/lightgbm_g1_card1__stop_average_precision_cap15000_seed42.txt,convergence_check,protocol,convergence_check,False,"Re-trains a model at a 15,000-estimator cap to establish where it actually converges, and under an alternative stopping metric to test whether the stopping rule was the problem. It was not: patience on ROC-AUC stopped both models around 1,200 rounds with PR-AUC far below converged.",The converged protocol every post-cap comparison uses | The revised G1 deficit of -0.0209,train,validation,467.0,0.6282682353995636,0.914080672907281,7147.0,15000.0,False,True,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__b0_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,435.0,0.6541729814736047,0.9229730683534482,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__b1_card1_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,439.0,0.6613751048093418,0.9261409563930142,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__loo_prior_count_24h_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,438.0,0.6627525853193333,0.9240588083059398,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__loo_prior_count_7d_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,438.0,0.6567388062197238,0.923081957479223,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__loo_prior_count_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,438.0,0.6572680916854566,0.9249408048444385,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__loo_time_since_previous_hours_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,438.0,0.6588071088883305,0.9257608013735447,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__singleton_prior_count_24h_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,436.0,0.6586912128997611,0.9268319953621396,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__singleton_prior_count_7d_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,436.0,0.6587438385691176,0.9252031625362009,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__singleton_prior_count_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,436.0,0.6602495923494346,0.9241976156163746,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
fixed_budget/lightgbm_fixed_card1__singleton_time_since_previous_hours_fixed10000_seed42.txt,fixed_budget_ablation,B1,fixed_budget_panel,False,"The ablation panel and its two references refit at 10,000 rounds with early stopping disabled and read at that round, so no arm's figure depends on how many rounds it was granted. The budget was registered before any run, above every optimum in the panel.","The within-block localisation: ADDITIVE_CONTRIBUTIONS, superseding the published redundancy verdict",train,validation,436.0,0.6530345445619277,0.9242145827050419,,,,,False,True,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
graphsage_card1_encoder.pt,graphsage_encoder,G1,encoder,True,"The trained GraphSAGE encoder producing the per-transaction embeddings the G1 model consumes. Not a classifier: it emits vectors, and carries no metrics of its own beyond training loss.",Inputs to the G1 model and its controls,train,,,,,,,,,False,False,True,"Trained on the 2019 IEEE-CIS competition dataset; nothing here has been validated against current fraud patterns. | Selected and compared on the validation split. The held-out test split is unused, so every number in this project is a validation number. | Output scores are not probabilities. Class weighting distorts the scale, and the measured distortion is under-prediction on the low-score bulk rather than the inflation the weighting would suggest.","Not a deployable fraud model. No production monitoring, no drift handling, no calibrated probability output, no evaluation on unseen data. Suitable only for reproducing and extending this project's measurements."
